;OSEBuildingID;DataYear;BuildingType;PrimaryPropertyType;PropertyName;Address;City;State;ZipCode;TaxParcelIdentificationNumber;CouncilDistrictCode;Neighborhood;Latitude;Longitude;YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);ListOfAllPropertyUseTypes;LargestPropertyUseType;LargestPropertyUseTypeGFA;ENERGYSTARScore;SiteEUI(kBtu/sf);SiteEUIWN(kBtu/sf);SourceEUI(kBtu/sf);SourceEUIWN(kBtu/sf);SiteEnergyUse(kBtu);SiteEnergyUseWN(kBtu);SteamUse(kBtu);Electricity(kWh);Electricity(kBtu);NaturalGas(therms);NaturalGas(kBtu);DefaultData;ComplianceStatus;TotalGHGEmissions;GHGEmissionsIntensity
1454;21871;2016;Multifamily LR (1-4);Low-Rise Multifamily;Evanston Square;600 N 85th St;Seattle;WA;98103;2406800000;6;NORTHWEST;47.69086;-122.35094;2000;1;4;35837;0;35837;Multifamily Housing, Office;Multifamily Housing;28356;61;31.20000076;32.70000076;98;102.6999969;1073328.625;2.634224253;0;314574.5938;1073329;0;0;FALSE;Compliant;7.48;0.21
1455;21877;2016;Multifamily LR (1-4);Low-Rise Multifamily;Brentwood Square Bldg B;13315 Greenwood Ave N;Seattle;WA;98133;2426039017;5;NORTHWEST;47.72581;-122.35617;1968;1;3;41567;0;41567;Multifamily Housing;Multifamily Housing;40924;84;23.79999924;25.10000038;74.80000305;78.80000305;974305.625;2.62775459;0;285552.5938;974305;0;0;FALSE;Compliant;6.79;0.16
1456;21879;2016;NonResidential;Senior Care Community;HEALTH AND REHAB OF NORTH SEATTLE;13333 GREENWOOD AVE N;Seattle;WA;98133;2426039037;5;NORTHWEST;47.72618;-122.35642;1954;1;2;51298;0;51298;Senior Care Community;Senior Care Community;51298;85;110.1999969;114;201.1000061;205.8999939;5655578;2.746090057;0;613894.125;2094607;35609.70703;3560971;FALSE;Compliant;203.73;3.97
1457;21880;2016;Multifamily HR (10+);High-Rise Multifamily;Ida Culver House Broadview;12515 Greenwood Ave N;Seattle;WA;98133;2426039052;5;NORTHWEST;47.72101;-122.35725;1990;1;10;284970;0;284970;Multifamily Housing;Multifamily Housing;256413;77;46.09999847;47.90000153;75.5;78;11828824;2.792635307;0;974210.3125;3324006;85048.17969;8504818;FALSE;Compliant;474.86;1.67
1458;21883;2016;NonResidential;Worship Facility;Shoreline;102 N 132nd St;Seattle;WA;98133;2426039065;5;NORTHWEST;47.72558;-122.3578;1962;1;1;22047;0;22047;Parking, Worship Facility;Worship Facility;22898;100;11.60000038;11.89999962;36.40000153;37.40000153;265774.9063;2.527007589;0;77894.20313;265775;0;0;FALSE;Compliant;1.85;0.08
1459;21884;2016;Multifamily LR (1-4);Low-Rise Multifamily;Brentwood Square Apartments  Bldg C & D;13407 Greenwood Ave N;Seattle;WA;98133;2426039119;5;NORTHWEST;47.72687;-122.35607;1967;1;3;116143;0;116143;Multifamily Housing;Multifamily Housing;113346;77;26.70000076;27.89999962;83.80000305;87.59999847;3024478.5;2.705866478;0;886423.8125;3024478;0;0;FALSE;Compliant;21.08;0.18
1460;21885;2016;Multifamily LR (1-4);Low-Rise Multifamily;45 North Apartments;13437 Greenwood Ave N;Seattle;WA;98133;2426039161;5;NORTHWEST;47.72762;-122.35611;1976;1;3;44656;0;44656;Multifamily Housing;Multifamily Housing;44656;68;24.39999962;25.20000076;76.69999695;79.09999847;1091162.75;2.634241713;0;319801.5;1091163;0;0;FALSE;Compliant;7.61;0.17
1461;21886;2016;Multifamily LR (1-4);Low-Rise Multifamily;Brentwood Square Bldg A;13201 Greenwood Ave N;Seattle;WA;98133;2426039259;5;NORTHWEST;47.72526;-122.35608;1968;1;3;26159;0;26159;Multifamily Housing;Multifamily Housing;25950;76;26.10000038;27.39999962;82;85.90000153;677536.3125;2.600718901;0;198574.5;677536;0;0;FALSE;Compliant;4.72;0.18
1462;21893;2016;NonResidential;Warehouse;South Park;9125 10th Ave S;Seattle;WA;98108;2433700015;1;GREATER DUWAMISH;47.5213;-122.32182;1979;1;1;31600;0;31600;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;31600;3;106.4000015;118.0999985;219.8000031;232;3363535.5;2.716839166;0;478694.5938;1633306;17302.29102;1730229;FALSE;Compliant;103.28;3.27
1463;21894;2016;NonResidential;Warehouse;821 WEARHOUSE;821 SO BARTON ST;Seattle;WA;98108;2433700068;1;GREATER DUWAMISH;47.52024;-122.32137;2007;1;1;35289;0;35289;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;35289;63;24.79999924;28.60000038;55.09999847;62.09999847;876425;2.626564701;0;143852;490823;3856.019775;385602;FALSE;Compliant;23.9;0.68
